battery_id,filename,ambient_temperature,capacity,avg_voltage,max_voltage,min_voltage,avg_current,max_current,avg_temperature,max_temperature,discharge_duration
B0047,00001.csv,4,1.6743047446975208,3.4752664759657903,4.246764125510136,2.470611866932728,-0.9527668403077523,0.000252388610586,8.272422519178683,12.376815880696888,6436.141
B0047,00005.csv,4,1.5243662105099023,3.4765588189090355,4.186635709569866,2.477661652422805,-0.9838885014038209,-0.0015358996096327,8.210715424489035,11.314903320182369,5650.265
B0047,00007.csv,4,1.5080762969973425,3.4707669643372343,4.199922751479228,2.4707098734854784,-0.9838892612061609,-0.000745698662656,7.954455063989402,11.624528187721143,5590.907
B0047,00009.csv,4,1.4835577960067696,3.4675514337042928,4.199568876812779,2.465457800547402,-0.9789465319710104,0.0003032433409723,7.985864710265717,11.0929238810592,5543.61
B0047,00011.csv,4,1.4671391666146525,3.4628386272032645,4.1993968014662295,2.465765118194009,-0.9762620303137102,0.0004220115914528,8.009426990342208,11.020979145558456,5499.046
B0047,00013.csv,4,1.448858156982267,3.4591836330966035,4.198907847432783,2.4700482803033514,-0.9711681299821951,9.027841205808632e-07,8.033626730077737,11.05909419348262,5461.219
B0047,00017.csv,4,1.4458534180949325,3.440865649757287,4.163303236325632,2.484128874181115,-0.9709334670284248,0.0009494056462554,8.150799939416203,11.877028657628198,5451.281
B0047,00021.csv,4,1.431118266178283,3.44810227661685,4.181797294694067,2.483034750266961,-0.9610547420763002,-0.000611161990235,8.230899786348077,11.559250858608888,5468.062
B0047,00023.csv,4,1.4192745516578533,3.4496654644975946,4.197837203348764,2.49830336362436,-0.9582923588349711,-0.0013182019564115,8.146945225413083,11.34743713793976,5411.297
B0047,00025.csv,4,1.3999974221808271,3.4449123724079618,4.197777018222757,2.49851157426792,-0.9553719838321842,-8.976016421710795e-06,8.251894856354932,11.693269060729056,5369.703
B0047,00027.csv,4,1.3885156686114437,3.4418308643708455,4.197306543877358,2.4919375577484737,-0.9527836491780217,-0.0002584377680427,8.23497518866995,11.557441727679937,5327.406
B0047,00029.csv,4,1.3652234669528964,3.4344681780842876,4.19770091242359,2.4683068422721184,-0.949814677088373,-0.0008146601542771,8.269239827690175,11.667407771157473,5299.266
B0047,00033.csv,4,1.4060442272970963,3.430115214310407,4.1533796403143945,2.479195639185483,-0.962374774611937,0.0028748902917332,8.236583239584068,11.311016339650983,5367.172
B0047,00037.csv,4,1.4057541613525781,3.442078085056046,4.1809212253928045,2.4933737831605582,-0.9528782892582865,-0.0005800539086706,8.16126508624072,11.175603921563273,5406.812
B0047,00039.csv,4,1.3867662881727878,3.4424678812268277,4.198049966629152,2.491571322470993,-0.9497638833815831,-0.0003116546335126,8.25301239256121,11.15023736338702,5353.094
B0047,00041.csv,4,1.3705053061420223,3.4338551425476287,4.19764856730434,2.471859124111365,-0.9517106306260905,0.0017552546473027,8.291638340695691,11.81131136026599,5280.031
B0047,00043.csv,4,1.3497431114823601,3.4327517306039357,4.1969633661005,2.488914813470205,-0.9434304652541514,-0.0004111896147658,8.318107121376224,11.699803023226297,5248.593
B0047,00045.csv,4,1.3251533367939783,3.4273855541261473,4.196227134476293,2.472852533936716,-0.9400482502771171,0.000409703822772,8.303021352537922,11.234017863419322,5203.375
B0047,00049.csv,4,1.3111943869635805,3.4184685184601045,4.176260352394772,2.4822189935935484,-0.9371553622323052,0.0020782269682447,8.32601397527908,11.729632241368254,5166.812
B0047,00051.csv,4,0,3.6507246573834036,4.195583212031605,3.452630071948054,-0.9839651386620409,-0.0006654219607429,7.192903163731922,8.565277404002732,2384.094
B0047,00053.csv,4,1.3394234405932892,3.4156755122328164,4.199835388165491,2.481264290061195,-0.9234823229846594,0.0006870764093463,8.388106987601862,12.186162994585318,5340.281
B0047,00055.csv,4,1.2849157142560723,3.4189443106786306,4.195847527614419,2.487540187711501,-0.930472095057463,0.0002855601188947,8.304841644444155,11.147409475641334,5103.0
