battery_id,cycle_number,capacity,soh,avg_voltage,max_voltage,min_voltage,avg_current,max_current,avg_temperature,max_temperature,avg_charge_voltage,max_charge_voltage,avg_charge_current,max_charge_current,charge_duration,discharge_duration,Re,Rct,avg_battery_impedance,avg_rectified_impedance
B0047,1,1.6743047446975208,83.71523723487604,3.4752664759657903,4.246764125510136,2.470611866932728,-0.9527668403077524,0.000252388610586,8.272422519178683,12.376815880696888,4.193520837869666,4.214594585505835,0.5207924895446029,1.4943144350434685,10803.313,6436.141,0.0560578334388809,0.2009701658445833,0.2139285518694496,0.084121449787413
B0047,2,1.5243662105099025,76.21831052549513,3.4765588189090355,4.186635709569866,2.477661652422805,-0.9838885014038208,-0.0015358996096327,8.210715424489035,11.314903320182369,4.187504197003788,4.214574140334718,0.5186862418251199,1.4959111231788296,10802.077999999994,5650.265,0.053191858509211,0.1647339991486473,0.2170824527076823,0.0844271476013227
B0047,3,1.5080762969973425,75.40381484986712,3.4707669643372343,4.199922751479228,2.4707098734854784,-0.9838892612061608,-0.000745698662656,7.954455063989402,11.624528187721143,4.189655069774906,4.214573442739502,0.5135277214530581,1.4934226098552212,10807.688,5590.907,0.0596379150105105,0.210398722638349,0.2220132902241999,0.089368932105366
B0047,4,1.4835577960067696,74.17788980033848,3.4675514337042928,4.199568876812779,2.465457800547402,-0.9789465319710104,0.0003032433409723,7.985864710265717,11.0929238810592,4.191917514720392,4.21468419824127,0.5073739203979963,1.4941138234992282,10805.687,5543.61,0.0551250536162427,0.1754882075917004,0.2211053359612666,0.0886787143247203
B0047,5,1.4671391666146525,73.35695833073262,3.4628386272032645,4.1993968014662295,2.465765118194009,-0.9762620303137102,0.0004220115914528,8.009426990342208,11.020979145558456,4.193113417930489,4.214636526179533,0.5012755481230531,1.495550265029558,10804.078,5499.046,0.0588784853124444,0.1909568709609001,0.2190141811173265,0.0873054327270368
B0047,6,1.448858156982267,72.44290784911335,3.4591836330966035,4.198907847432783,2.4700482803033514,-0.9711681299821951,9.027841205808632e-07,8.033626730077737,11.05909419348262,4.199479900529841,4.214551087827655,0.4945772130097396,1.4935340816098963,10804.969,5461.219,0.0528128215980842,0.1722515233415132,0.2207926875510077,0.086573426341427
B0047,7,1.4458534180949325,72.29267090474663,3.440865649757287,4.163303236325632,2.484128874181115,-0.9709334670284248,0.0009494056462554,8.150799939416203,11.877028657628198,4.196299797709012,4.214562334215193,0.494706079124223,1.4942369835524285,10808.375,5451.281,0.057516600514537,0.196364379896874,0.2178475344246701,0.0879252770203158
B0047,8,1.431118266178283,71.55591330891416,3.44810227661685,4.181797294694067,2.483034750266961,-0.9610547420763002,-0.000611161990235,8.230899786348077,11.559250858608888,4.194434606990872,4.214628427741857,0.4918073887438026,1.494290898354415,10804.25,5468.062,0.0535342449436397,0.1777073031474945,0.2214662492810666,0.0887249708897163
B0047,9,1.419274551657853,70.96372758289266,3.4496654644975946,4.197837203348764,2.49830336362436,-0.9582923588349712,-0.0013182019564115,8.146945225413083,11.34743713793976,4.195194011746863,4.21456564331092,0.4844742944222571,1.4930759462299237,10802.406000000004,5411.297,0.0620311314352937,0.2008978928903059,0.2220804857783298,0.0904308883742493
B0047,10,1.3999974221808271,69.99987110904135,3.4449123724079618,4.197777018222757,2.49851157426792,-0.9553719838321842,-8.976016421710795e-06,8.251894856354932,11.693269060729056,4.196636862370744,4.214592980625481,0.4792323425448145,1.4942089666961949,10803.203,5369.703,0.0585849037401347,0.1841540797551404,0.2265112781128559,0.0937899205922819
