battery_id,filename,ambient_temperature,avg_charge_voltage,max_charge_voltage,avg_charge_current,max_charge_current,avg_charge_temperature,max_charge_temperature,charge_duration
B0047,00003.csv,4,4.193520837869666,4.214594585505835,0.5207924895446029,1.4943144350434685,6.279191330194547,8.793624097800858,10803.313
B0047,00006.csv,4,4.187504197003788,4.214574140334718,0.5186862418251199,1.4959111231788296,6.4143510033004505,10.1455937779198,10802.077999999994
B0047,00008.csv,4,4.189655069774906,4.214573442739502,0.5135277214530581,1.4934226098552212,6.263927129839187,9.371285850326036,10807.688
B0047,00010.csv,4,4.191917514720392,4.21468419824127,0.5073739203979963,1.4941138234992282,6.251469678656883,9.599392228576075,10805.687
B0047,00012.csv,4,4.193113417930489,4.214636526179533,0.5012755481230531,1.495550265029558,6.21497944169411,9.977435052651424,10804.078
B0047,00015.csv,4,4.199479900529841,4.214551087827655,0.4945772130097396,1.4935340816098963,6.092666461165559,8.878068239463989,10804.969
B0047,00019.csv,4,4.1962997977090115,4.214562334215193,0.494706079124223,1.4942369835524285,6.187810206471489,8.54999351511764,10808.375
B0047,00022.csv,4,4.194434606990872,4.214628427741857,0.49180738874380264,1.494290898354415,6.425894472599308,9.9149863999085,10804.25
B0047,00024.csv,4,4.195194011746863,4.21456564331092,0.4844742944222571,1.4930759462299237,6.331701988672408,8.87729954678877,10802.406000000004
B0047,00026.csv,4,4.1966368623707435,4.214592980625481,0.47923234254481456,1.4942089666961949,6.3539127187662245,9.792328297818012,10803.203
B0047,00028.csv,4,4.198462571285532,4.214631128590447,0.4733439927815017,1.494979279435882,6.299383558313136,8.793395853031353,10806.079
B0047,00031.csv,4,4.201236264948579,4.214615829876236,0.4666393276247713,1.4934694530460455,6.119106088844921,8.489081034047558,10803.641
B0047,00035.csv,4,4.2009472311598515,4.214562251074727,0.4879871428002954,1.494794799850116,6.2442139643198535,8.875067965433193,10805.125
B0047,00038.csv,4,4.197851110146361,4.214638123389504,0.48034924901333614,1.4954784447798533,6.3266519915760115,9.0113162300133,10806.202999999994
B0047,00040.csv,4,4.198680988504506,4.214584490663374,0.4725750834617734,1.4942448128969463,6.34182636437102,9.117837502841068,10807.016
B0047,00042.csv,4,4.199128153383965,4.214632298643419,0.4680286080585239,1.4934490222119414,6.363038788567033,9.008870688771184,10803.453
B0047,00044.csv,4,4.199490357046566,4.214638081383685,0.4605810915035159,1.4941953973715036,6.27526016076628,8.775487596967912,10807.812
B0047,00047.csv,4,4.204909593983731,4.214698361019494,0.4535761631204663,1.4936935061835013,6.07211429174397,8.527927995096366,10805.016
B0047,00050.csv,4,4.200687492197155,4.214551167502196,0.4526769344869139,1.4930387621896184,6.207997563153254,9.25658691248093,10805.781000000004
B0047,00052.csv,4,4.20790150879879,4.21463256233266,0.23605671456748792,1.4928240697083386,5.637368513245537,8.229513715800891,10802.625
B0047,00054.csv,4,4.201675684962224,4.2146089830476,0.44486137547137466,1.493224506718615,6.134010914344963,8.682117686665979,10808.813
B0047,00056.csv,4,4.201116653934024,4.2145701138882,0.4412040962296821,1.4921146576500417,6.2541368729785685,8.807432989820063,10804.828
B0047,00059.csv,4,4.205978517025572,4.214594542819639,0.43499088545599207,1.4924555898866,6.056088458175721,8.672791913113644,10808.359
