battery_id,cycle_number,ambient_temperature,capacity,soh
B0047,1,4,1.6743047446975208,83.71523723487604
B0047,2,4,1.5243662105099025,76.21831052549513
B0047,3,4,1.5080762969973425,75.40381484986712
B0047,4,4,1.4835577960067696,74.17788980033848
B0047,5,4,1.4671391666146525,73.35695833073262
B0047,6,4,1.448858156982267,72.44290784911335
B0047,7,4,1.4458534180949325,72.29267090474663
B0047,8,4,1.431118266178283,71.55591330891416
B0047,9,4,1.419274551657853,70.96372758289266
B0047,10,4,1.3999974221808271,69.99987110904135
B0047,11,4,1.3885156686114437,69.42578343057218
B0047,12,4,1.3652234669528964,68.26117334764483
B0047,13,4,1.4060442272970963,70.30221136485481
B0047,14,4,1.405754161352578,70.2877080676289
B0047,15,4,1.3867662881727878,69.33831440863939
B0047,16,4,1.3705053061420225,68.52526530710112
B0047,17,4,1.34974311148236,67.48715557411799
B0047,18,4,1.3251533367939785,66.25766683969893
B0047,19,4,1.3111943869635805,65.55971934817903
B0047,20,4,0.0,0.0
B0047,21,4,1.3394234405932892,66.97117202966446
B0047,22,4,1.2849157142560723,64.24578571280361
B0047,23,4,1.281719159327807,64.08595796639035
B0047,24,4,1.2600051642942829,63.000258214714144
B0047,25,4,1.266070385993126,63.303519299656294
B0047,26,4,1.2413590294280803,62.067951471404015
B0047,27,4,1.2298873703485311,61.49436851742656
B0047,28,4,1.228088614506696,61.404430725334805
B0047,29,4,1.2139857189070042,60.69928594535021
B0047,30,4,1.2173435064564189,60.86717532282094
B0047,31,4,1.2073445944515917,60.36722972257959
B0047,32,4,1.18804049227045,59.4020246135225
B0047,33,4,1.186304749886542,59.3152374943271
B0047,34,4,1.2613935471028506,63.06967735514253
B0047,35,4,1.2648246158850651,63.241230794253255
B0047,36,4,1.24664945489822,62.332472744911
B0047,37,4,1.2333924152795082,61.66962076397541
B0047,38,4,1.2129250072037692,60.64625036018846
B0047,39,4,1.1999106597943647,59.995532989718235
B0047,40,4,1.1902559038393383,59.512795191966916
B0047,41,4,1.1892563795455853,59.46281897727926
B0047,42,4,1.167069685125939,58.35348425629695
B0047,43,4,1.1615348403090369,58.07674201545184
B0047,44,4,1.1555563844349988,57.77781922174994
B0047,45,4,1.1488524666097713,57.442623330488566
B0047,46,4,1.143572986788779,57.17864933943895
B0047,47,4,1.1418015379428537,57.09007689714268
B0047,48,4,1.136058647502255,56.802932375112746
B0047,49,4,1.1236364680969286,56.18182340484643
B0047,50,4,1.1320498900328944,56.60249450164472
B0047,51,4,1.117010176215815,55.85050881079076
B0047,52,4,1.120043039721982,56.0021519860991
B0047,53,4,1.1059773445917065,55.298867229585326
B0047,54,4,0.0,0.0
B0047,55,4,1.1907902374762016,59.53951187381008
B0047,56,4,1.2012387088454022,60.06193544227011
B0047,57,4,1.1906909549024802,59.53454774512401
B0047,58,4,1.1764375730308343,58.82187865154172
B0047,59,4,1.1628110372792353,58.14055186396176
B0047,60,4,1.1516152840582583,57.58076420291292
B0047,61,4,1.1583673498348623,57.91836749174312
B0047,62,4,1.1692285288386206,58.46142644193103
B0047,63,4,1.1588148476218465,57.94074238109233
B0047,64,4,1.1439588147705455,57.19794073852727
B0047,65,4,1.1383941068159398,56.91970534079699
B0047,66,4,0.0,0.0
B0047,67,4,1.2213102850395667,61.065514251978335
B0047,68,4,1.2031062978889062,60.15531489444531
B0047,69,4,1.1897147112197684,59.48573556098842
B0047,70,4,1.177422568842014,58.8711284421007
B0047,71,4,1.158443027293818,57.9221513646909
B0047,72,4,1.1567087516841796,57.83543758420898
B0045,1,4,1.0819793880779518,54.09896940389759
