soh_t1,soh_t2,soh_t3,soh_t4,soh_t5,target_soh
92.82437104090786,92.31636248599636,91.7674597111704,91.76312637910564,91.73227541060209,91.78308300337748
92.31636248599636,91.7674597111704,91.76312637910564,91.73227541060209,91.78308300337748,91.75730714613302
91.7674597111704,91.76312637910564,91.73227541060209,91.78308300337748,91.75730714613302,91.28783952832768
91.76312637910564,91.73227541060209,91.78308300337748,91.75730714613302,91.28783952832768,91.23869264945668
91.73227541060209,91.78308300337748,91.75730714613302,91.28783952832768,91.23869264945668,91.2306634248468
91.78308300337748,91.75730714613302,91.28783952832768,91.23869264945668,91.2306634248468,91.23097763432251
91.75730714613302,91.28783952832768,91.23869264945668,91.2306634248468,91.23097763432251,90.7100967883696
91.28783952832768,91.23869264945668,91.2306634248468,91.23097763432251,90.7100967883696,90.68760788774526
91.23869264945668,91.2306634248468,91.23097763432251,90.7100967883696,90.68760788774526,90.67202457367912
91.2306634248468,91.23097763432251,90.7100967883696,90.68760788774526,90.67202457367912,90.12990018153252
91.23097763432251,90.7100967883696,90.68760788774526,90.67202457367912,90.12990018153252,90.10534501230752
90.7100967883696,90.68760788774526,90.67202457367912,90.12990018153252,90.10534501230752,90.12897504131044
90.68760788774526,90.67202457367912,90.12990018153252,90.10534501230752,90.12897504131044,90.15341571417048
90.67202457367912,90.12990018153252,90.10534501230752,90.12897504131044,90.15341571417048,90.1388812359802
90.12990018153252,90.10534501230752,90.12897504131044,90.15341571417048,90.1388812359802,92.35129974664598
90.10534501230752,90.12897504131044,90.15341571417048,90.1388812359802,92.35129974664598,92.3708655641822
90.12897504131044,90.15341571417048,90.1388812359802,92.35129974664598,92.3708655641822,91.80887106739472
90.15341571417048,90.1388812359802,92.35129974664598,92.3708655641822,91.80887106739472,91.2890373788812
90.1388812359802,92.35129974664598,92.3708655641822,91.80887106739472,91.2890373788812,91.25568217539184
92.35129974664598,92.3708655641822,91.80887106739472,91.2890373788812,91.25568217539184,91.2790752110188
92.3708655641822,91.80887106739472,91.2890373788812,91.25568217539184,91.2790752110188,90.70155637541954
91.80887106739472,91.2890373788812,91.25568217539184,91.2790752110188,90.70155637541954,90.73845970579468
91.2890373788812,91.25568217539184,91.2790752110188,90.70155637541954,90.73845970579468,90.6984694355176
91.25568217539184,91.2790752110188,90.70155637541954,90.73845970579468,90.6984694355176,90.13828325839116
91.2790752110188,90.70155637541954,90.73845970579468,90.6984694355176,90.13828325839116,90.2038520058676
90.70155637541954,90.73845970579468,90.6984694355176,90.13828325839116,90.2038520058676,92.59012758352245
90.73845970579468,90.6984694355176,90.13828325839116,90.2038520058676,92.59012758352245,91.53519228369714
90.6984694355176,90.13828325839116,90.2038520058676,92.59012758352245,91.53519228369714,90.99520544750636
90.13828325839116,90.2038520058676,92.59012758352245,91.53519228369714,90.99520544750636,90.4653981851426
90.2038520058676,92.59012758352245,91.53519228369714,90.99520544750636,90.4653981851426,90.230495229026
92.59012758352245,91.53519228369714,90.99520544750636,90.4653981851426,90.230495229026,89.96885325986096
91.53519228369714,90.99520544750636,90.4653981851426,90.230495229026,89.96885325986096,89.42216167685231
90.99520544750636,90.4653981851426,90.230495229026,89.96885325986096,89.42216167685231,89.14615242126362
90.4653981851426,90.230495229026,89.96885325986096,89.42216167685231,89.14615242126362,88.65168579009143
90.230495229026,89.96885325986096,89.42216167685231,89.14615242126362,88.65168579009143,88.65188775394685
89.96885325986096,89.42216167685231,89.14615242126362,88.65168579009143,88.65188775394685,88.39360553331026
89.42216167685231,89.14615242126362,88.65168579009143,88.65188775394685,88.39360553331026,88.11575352046545
89.14615242126362,88.65168579009143,88.65188775394685,88.39360553331026,88.11575352046545,88.38086462469224
88.65168579009143,88.65188775394685,88.39360553331026,88.11575352046545,88.38086462469224,88.13341798715734
88.65188775394685,88.39360553331026,88.11575352046545,88.38086462469224,88.13341798715734,87.58652435332071
88.39360553331026,88.11575352046545,88.38086462469224,88.13341798715734,87.58652435332071,87.09248023980004
88.11575352046545,88.38086462469224,88.13341798715734,87.58652435332071,87.09248023980004,86.8045675592357
88.38086462469224,88.13341798715734,87.58652435332071,87.09248023980004,86.8045675592357,89.68120074286804
88.13341798715734,87.58652435332071,87.09248023980004,86.8045675592357,89.68120074286804,89.15945111636638
87.58652435332071,87.09248023980004,86.8045675592357,89.68120074286804,89.15945111636638,88.36821038139479
87.09248023980004,86.8045675592357,89.68120074286804,89.15945111636638,88.36821038139479,87.85088925176532
86.8045675592357,89.68120074286804,89.15945111636638,88.36821038139479,87.85088925176532,87.34353089918953
89.68120074286804,89.15945111636638,88.36821038139479,87.85088925176532,87.34353089918953,87.08586253728572
89.15945111636638,88.36821038139479,87.85088925176532,87.34353089918953,87.08586253728572,86.82112528239094
88.36821038139479,87.85088925176532,87.34353089918953,87.08586253728572,86.82112528239094,86.31608619617913
87.85088925176532,87.34353089918953,87.08586253728572,86.82112528239094,86.31608619617913,85.79032694665067
87.34353089918953,87.08586253728572,86.82112528239094,86.31608619617913,85.79032694665067,85.52666755675959
87.08586253728572,86.82112528239094,86.31608619617913,85.79032694665067,85.52666755675959,85.30072498242605
86.82112528239094,86.31608619617913,85.79032694665067,85.52666755675959,85.30072498242605,85.01555136321294
86.31608619617913,85.79032694665067,85.52666755675959,85.30072498242605,85.01555136321294,84.72899300898948
85.79032694665067,85.52666755675959,85.30072498242605,85.01555136321294,84.72899300898948,84.24514543304643
85.52666755675959,85.30072498242605,85.01555136321294,84.72899300898948,84.24514543304643,83.72370795579857
85.30072498242605,85.01555136321294,84.72899300898948,84.24514543304643,83.72370795579857,83.72846239939551
85.01555136321294,84.72899300898948,84.24514543304643,83.72370795579857,83.72846239939551,83.18581879907026
84.72899300898948,84.24514543304643,83.72370795579857,83.72846239939551,83.18581879907026,82.9506934374123
